Column1,Column2
About winter,About winter
This is my second post .,This is my second post .
I will appreciate it if you correct my sentences .,I would appreciate it if you corrected my sentences .
It 's been getting colder these days here in Japan .,It 's been getting colder these days here in Japan .
The summer weather in Japan is not agreeable to me with its high humidity and temperature .,The summer weather in Japan is not agreeable to me with its high humidity and temperature .
"So , as the winter is coming , I 'm getting to feel better .","So , as the winter is coming , I 'm getting to feel better ."
Coldness is my energy .,Coldness is my energy .
"And also , around the new year 's holidays , we will have a lot of enjoyable events","And also , around the new year 's holidays , we will have a lot of enjoyable events ."
"mostly with delicious foods , drinks , and good conversations .","Mostly with delicious food , drinks , and good conversation ."
"In addition , it is the time for skiing and snow boarding :)","In addition , it is the time for skiing and snowboarding :)"
It is the very exciting season .,It is a very exciting season .
"But , before enjoying those kind of happy time , I have to do a kind of boring ,","But , before enjoying those kinds of happy times , I have to do some kind of boring ,"
customary practice .,customary practice .
Writing new year 's greeting cards is somehow a pain in the neck .,Writing new year 's greeting cards is somehow a pain in the neck .
"Actually , I do n't have enough time to come up with an idea of the card 's design .","Actually , I did n't have enough time to come up with an idea for the card 's design ."
I wish i could come across an good one in my mind .,I wish I could come across a good one in my mind .
Thank you for reading & thanks for your time .,Thank you for reading & thanks for your time .
Women workers,Women workers
I have a fiancee and she is finding her job .,I have a fiancee and she is finding her job .
It seems not easy to find a job for women in Japan .,It seems not easy to find a job for women in Japan .
There are mainly two reasons for it .,There are mainly two reasons for this .
"The first , most women have baby and they have to take maternity leave .","First , most women have a baby and they have to take maternity leave ."
Employers do n't like it even if maternity leave is the right for employees .,Employers do n't like it even if maternity leave is a right for employees .
"The second ,   women workers likely to quit their job because of child care or the transfar of ther husbands .","Second , women workers are likely to quit their jobs because of child care or the transfer of their husbands ."
"If a woman worker quit her job , employers have to find a new employee .","If a woman worker quits her job , employers have to find a new employee ."
It costs not a little money to find .,It costs not a little money to find .
"Though there are many women workers who have excellent potentil , employers often hesitate to hire them .","Though there are many women workers who have excellent potential , employers often hesitate to hire them ."
How about in your country ?,How about in your country ?
"This April , new reqruits joined our company .","This April , new recruits joined our company ."
About 160 people joined .,About 160 people attended .
"After the initial ceremony , the group photo was taken .","After the initial ceremony , the group photo was taken ."
The president was standing in the front row and the every female enployees were surrounding him .,The president was standing in the front row and all the female employees were surrounding him .
The every male employees were standing in the back row .,All the male employees were standing in the back row .
It seems to be reasonable that short person is in the front row and the tall is in the back row when we take a group picture so that everyone can in the photo .,It seems to be reasonable that the short person is in the front row and the tall person is in the back row when we take a group picture so that everyone can be in the photo .
"Generally men is taller than women , of course .","Generally , men are taller than women , of course ."
"However , there are women who are taller than a man .","However , there are women who are taller than men ."
I think the row should not be decided by gender but the height .,I think the row should not be decided by gender but by height .
Our company received a price about a diversity activity because women can feel free to work here in the same way as men .,Our company received a prize for a diversity activity because women can feel free to work here in the same way as men .
"However , it began to occur to me that this conpany is n't gender - free company when I saw the group picture .","However , it began to occur to me that this company was n't a gender - free company when I saw the group picture ."
Drags and the weight of guilt,Drags and the weight of guilt
"The day before yesterday , a popular musician ( who have the same name as me ... ) was arrested because he had and used drags .","The day before yesterday , a popular musician ( who has the same name as me ... ) was arrested because he had and used drugs ."
"Recently , more and more big name people have been arrested in Japan .","Recently , more and more big name people have been arrested in Japan ."
"In Japan , once arrested , the people will lose their jobs and it becomes very difficult to find a new job even if they finished doing a long prison term .","In Japan , once arrested , people will lose their jobs and it becomes very difficult to find a new job even if they have finished doing a long prison term ."
